,Date,Close
0,2018-01-02,2673.610107421875
1,2018-01-03,2695.81005859375
2,2018-01-04,2713.06005859375
3,2018-01-05,2723.989990234375
4,2018-01-08,2743.14990234375
5,2018-01-09,2747.7099609375
6,2018-01-10,2751.2900390625
7,2018-01-11,2748.22998046875
8,2018-01-12,2767.56005859375
9,2018-01-15,2786.239990234375
10,2018-01-17,2776.419921875
11,2018-01-18,2802.56005859375
12,2018-01-19,2798.030029296875
13,2018-01-22,2810.300048828125
14,2018-01-23,2832.969970703125
15,2018-01-24,2839.1298828125
16,2018-01-25,2837.5400390625
17,2018-01-26,2839.25
18,2018-01-29,2872.8701171875
19,2018-01-30,2853.530029296875
20,2018-01-31,2822.429931640625
21,2018-02-01,2823.81005859375
22,2018-02-02,2821.97998046875
23,2018-02-05,2762.1298828125
24,2018-02-06,2648.93994140625
25,2018-02-07,2695.139892578125
26,2018-02-08,2681.659912109375
27,2018-02-09,2581.0
28,2018-02-12,2619.550048828125
29,2018-02-13,2656.0
30,2018-02-14,2662.93994140625
31,2018-02-16,2698.6298828125
33,2018-02-19,2732.219970703125
34,2018-02-21,2716.260009765625
35,2018-02-22,2701.330078125
36,2018-02-23,2703.9599609375
37,2018-02-26,2747.300048828125
38,2018-02-27,2779.60009765625
39,2018-02-28,2744.280029296875
40,2018-03-02,2713.830078125
42,2018-03-05,2691.25
43,2018-03-06,2720.93994140625
44,2018-03-07,2728.1201171875
45,2018-03-08,2726.800048828125
46,2018-03-09,2738.969970703125
47,2018-03-12,2786.570068359375
48,2018-03-13,2783.02001953125
49,2018-03-14,2765.31005859375
50,2018-03-15,2749.47998046875
51,2018-03-16,2747.330078125
52,2018-03-19,2752.010009765625
53,2018-03-20,2712.919921875
54,2018-03-21,2716.93994140625
55,2018-03-22,2711.929931640625
56,2018-03-23,2643.68994140625
57,2018-03-26,2588.260009765625
58,2018-03-27,2658.550048828125
59,2018-03-28,2612.6201171875
60,2018-03-29,2605.0
61,2018-03-30,2640.8701171875
62,2018-04-03,2581.8798828125
63,2018-04-04,2614.449951171875
64,2018-04-05,2644.68994140625
65,2018-04-06,2662.840087890625
66,2018-04-09,2604.469970703125
67,2018-04-10,2613.159912109375
68,2018-04-11,2656.8701171875
69,2018-04-12,2642.18994140625
70,2018-04-13,2663.989990234375
71,2018-04-16,2656.300048828125
72,2018-04-17,2677.840087890625
73,2018-04-18,2706.389892578125
74,2018-04-19,2708.639892578125
75,2018-04-20,2693.1298828125
76,2018-04-23,2670.139892578125
77,2018-04-24,2670.2900390625
78,2018-04-25,2634.56005859375
79,2018-04-26,2639.39990234375
80,2018-04-27,2666.93994140625
81,2018-04-30,2669.909912109375
82,2018-05-02,2648.050048828125
84,2018-05-03,2635.669921875
85,2018-05-04,2629.72998046875
87,2018-05-08,2672.6298828125
88,2018-05-09,2671.919921875
89,2018-05-10,2697.7900390625
90,2018-05-11,2723.070068359375
91,2018-05-14,2727.719970703125
92,2018-05-15,2730.1298828125
93,2018-05-16,2711.449951171875
94,2018-05-17,2722.4599609375
95,2018-05-18,2720.1298828125
96,2018-05-21,2712.969970703125
98,2018-05-23,2724.43994140625
99,2018-05-24,2733.2900390625
